window_length_fraction,hop_fraction,window_function,Mean_SS,Mean_perc_SS,SS_time,SS_treatment,SS_sex,SS_order,SS_residuals,F_time,F_treatment,F_sex,F_order,F_residuals,p_time,p_treatment,p_sex,p_order,dist_time,dist_treatment,dist_sex,dist_order
1,0.3,hann,111890.22302884689,38.946532878187625,0.6137416905919568,6.638720559768292,2.941613255369069,4.1417178927099245,59.39692235159686,0.8679625133529897,4.694288061926363,4.1600726715827685,0.8367540395160376,nan,0.43956043956043955,0.002997002997002997,0.02197802197802198,0.6363636363636364,10.879088143935988,76.95412388030704,19.924378955990964,601.1648962472186
1,0.3,blackman,110818.65048877093,39.59519309946515,0.7008275445331364,6.172292810531179,2.9875770223278386,4.37645493063443,56.69036149014618,1.0384395546854304,4.572846092847186,4.426792549544057,0.9263913262705451,nan,0.35564435564435565,0.004995004995004995,0.015984015984015984,0.5334665334665335,11.584662985864073,78.88013711841452,20.235662153473292,649.9387583672092
1,0.2,boxcar,119952.25458219381,42.79471006845018,0.6180019255008664,4.692762328973723,3.1053185548124027,3.4620056667570043,52.12972257346679,0.9958265492188759,3.7808760163480155,5.003801012687696,0.7969362956523642,nan,0.3166833166833167,0.003996003996003996,0.00999000999000999,0.6403596403596403,12.868211353550604,73.24410562078552,21.11381104484914,573.3863979398269
1,0.2,hann,111890.22302884689,38.946532878187625,0.6137416905919568,6.638720559768292,2.941613255369069,4.1417178927099245,59.39692235159686,0.8679625133529897,4.694288061926363,4.1600726715827685,0.8367540395160376,nan,0.4205794205794206,0.006993006993006993,0.024975024975024976,0.6523476523476524,10.879088143935988,76.95412388030704,19.924378955990964,601.1648962472186
1,0.2,blackman,110818.65048877093,39.59519309946515,0.7008275445331364,6.172292810531179,2.9875770223278386,4.37645493063443,56.69036149014618,1.0384395546854304,4.572846092847186,4.426792549544057,0.9263913262705451,nan,0.33966033966033965,0.004995004995004995,0.01898101898101898,0.5304695304695305,11.584662985864073,78.88013711841452,20.235662153473292,649.9387583672092
1,0.1,boxcar,119952.25458219381,42.79471006845018,0.6180019255008664,4.692762328973723,3.1053185548124027,3.4620056667570043,52.12972257346679,0.9958265492188759,3.7808760163480155,5.003801012687696,0.7969362956523642,nan,0.33666333666333664,0.005994005994005994,0.008991008991008992,0.6183816183816184,12.868211353550604,73.24410562078552,21.11381104484914,573.3863979398269
1,0.1,hann,111890.22302884689,38.946532878187625,0.6137416905919568,6.638720559768292,2.941613255369069,4.1417178927099245,59.39692235159686,0.8679625133529897,4.694288061926363,4.1600726715827685,0.8367540395160376,nan,0.4075924075924076,0.007992007992007992,0.026973026973026972,0.6353646353646354,10.879088143935988,76.95412388030704,19.924378955990964,601.1648962472186
1,0.1,blackman,110818.65048877093,39.59519309946515,0.7008275445331364,6.172292810531179,2.9875770223278386,4.37645493063443,56.69036149014618,1.0384395546854304,4.572846092847186,4.426792549544057,0.9263913262705451,nan,0.4025974025974026,0.003996003996003996,0.01898101898101898,0.5544455544455544,11.584662985864073,78.88013711841452,20.235662153473292,649.9387583672092
0.5,1,boxcar,226117.70902540715,61.58790291162941,0.889658384938735,2.4090583180038982,4.042487142629794,2.461639998035091,29.627367685645485,2.522374080875946,3.4151008766528332,11.461326013968645,0.9970403138694337,nan,0.059940059940059943,0.003996003996003996,0.000999000999000999,0.3856143856143856,21.529528060439826,65.02672870462125,28.27123384687491,746.1113906531727
0.5,1,hann,234719.91336378953,61.400148999913405,0.6131599635161009,2.6762201247520365,3.6871217245217744,2.0268816916576577,30.82579771833162,1.6708549574606144,3.6463369501948777,10.047370961486733,0.7890332805703074,nan,0.15284715284715283,0.000999000999000999,0.000999000999000999,0.6763236763236763,19.627580893232416,67.31706266581641,27.840385771576795,645.3769318207409
0.5,1,blackman,229877.01565012403,60.78400523832025,0.6342687467878041,2.9171448071617734,3.7030102693199485,2.0764897862751392,31.584980815225983,1.6868325816583007,3.8790614633437412,9.848125741869321,0.7889153892817836,nan,0.16083916083916083,0.002997002997002997,0.000999000999000999,0.6883116883116883,19.24797769387885,68.78826141732546,27.8714590829168,648.6142872329087
0.5,0.9,boxcar,220999.83860991988,61.62333474313153,0.833163345468672,2.424595591949215,4.077021318688743,2.5977654805808816,30.71189085167278,2.2787825522490275,3.31575204384788,11.151048706960392,1.0150200753683871,nan,0.07292707292707293,0.006993006993006993,0.000999000999000999,0.4045954045954046,22.902158411956894,65.40703749560998,28.394227848485542,773.6027533633735
0.5,0.9,hann,236257.0585328392,61.42103455418453,0.6294603956346044,2.6535467306890523,3.715555213740871,2.0735259844040446,30.569482028090576,1.729655516724809,3.6457589496128437,10.209745708724654,0.8139592221413483,nan,0.13186813186813187,0.002997002997002997,0.000999000999000999,0.6583416583416584,19.379655914881372,67.17979539848257,27.535450223756637,641.0886126477416
0.5,0.9,blackman,231238.20130465186,60.84452302859744,0.5880251432426654,2.849507118090464,3.756021358545435,2.177870198292428,31.41788690196944,1.5721653141888294,3.8092727029422644,10.042234702233873,0.8318332312117047,nan,0.16983016983016982,0.003996003996003996,0.000999000999000999,0.6203796203796204,18.794128291612488,68.40215078007756,27.37563172806743,639.0378293931483
